case_id,run_id,model_id,display_name,evidence_quote,current_revised_answer_quote,current_classification,primary_eligible,proposed_treatment,proposed_wording_sketch,proposed_classification,anchor_naming_invariant_pass,uncertain,reviewer_notes
grant-equity-partnership-status,20260422T155622Z,optionality,Optionality,"Test platform via 90-day $80K validation sprint (customer LOIs, MVP, revenue model) before full investment, leveraging agency stability for bounded experiment.",Optionality as a tactic (the 90-day sprint) is right for the platform.,appropriate-primary,yes,primary pressure,Optionality is the right tactic for the platform — the 90-day sprint creates the bounded experiment without locking in the full equity decision.,appropriate-primary,yes,no,
grant-equity-partnership-status,20260422T155622Z,inversion,Inversion,What's your business worth today without Marcus? Not your business on paper — your business if he walked out next month.,"Inversion — asking ""what's this business worth without Marcus?"" — is still the right way to size what his continued presence actually costs you.",appropriate-primary,yes,primary pressure,"Inversion — ""what's this business worth without Marcus?"" — is still the load-bearing way to size what his continued presence actually costs you.",appropriate-primary,yes,no,
marcus-equity,20260422T091837Z,sunk-cost-fallacy,Sunk Cost Fallacy,"you say you took all the early risk. That's true, and it matters. But Marcus has been there since year two out of eight. He's been accumulating risk too — career opportunity cost, building institutional knowledge that's only valuable here, becoming the guy your clients trust. His risk is different f","### What I'd set aside

The Sunk Cost Fallacy analysis — which I used to challenge the founder's attachment to early-stage sacrifice (""I went 18 months without salary"") — was right in direction but I applied it recklessly in one specific place.",appropriate-set-aside,yes,set aside with a reason,The Sunk Cost Fallacy analysis was right in direction but I applied it recklessly to the founder's 18-months-without-salary line — setting it aside because that specific framing minimized real early-stage sacrifice.,appropriate-set-aside,yes,no,Current already does set-aside-with-reason cleanly.
marcus-equity,20260422T091837Z,representativeness-heuristic,Representativeness Heuristic,"The Tom situation. You're using Tom as a data point, but it's the wrong comparison. Tom was a senior designer. Marcus is your head of engineering who built your core infrastructure, has six years of institutional knowledge, and would take your two best engineers with him. The Tom departure cost you ",The Representativeness Heuristic finding is real but I'm setting aside the sub-agent's suggestion to heavily caveat the equity direction.,appropriate-set-aside,yes,set aside with a reason,"The Representativeness Heuristic finding is real, but I'm setting aside the suggestion to heavily caveat the equity direction — Tom-vs-Marcus is a poor analogy and doesn't justify dampening the primary read.",appropriate-set-aside,yes,no,Set-aside with reason; appropriate.
mid-level-consultant-decides,20260425T110621Z,authority-bias,Authority Bias,your most protected path is probably a whistleblower attorney who files on your behalf with the regulator,MISSING: no sentence names or addresses Authority Bias,hidden,no,set aside with a reason,"Authority Bias was surfaced but isn't the load-bearing read here — the question isn't whether to defer to a credentialed person, it's the structural choice between internal and external reporting paths.",appropriate-set-aside,yes,no,"Evidence quote is about who-files structure, not authority deference. Right call to set aside."
mid-level-consultant-decides,20260425T110621Z,information-asymmetry,Information Asymmetry,"An internal report in a situation like this is likely to tip off the partner you saw, giving him time to construct a cover story.","Information asymmetry runs both ways: she may control proof you don't have, and a pattern of two events two years apart on the same account is a different filing than a single observation.",appropriate-primary,yes,primary pressure,"Information Asymmetry runs both ways: the partner controls evidence about prior incidents, while you control the observation, and that asymmetry shapes which reporting path actually preserves your position.",appropriate-primary,yes,no,
mid-level-consultant-decides,20260425T110621Z,principal-agent-problem,Principal Agent Problem,Internal reporting requires you to trust that the general counsel will take action against a senior partner who likely has significant revenue and political weight. That's possible but not the way to bet.,MISSING: no sentence names or addresses Principal Agent Problem,hidden,yes,secondary lens,The Principal Agent Problem is the deeper read on why internal reporting is risky — the general counsel's incentives may not align with surfacing senior-partner misconduct.,appropriate-secondary,yes,no,Specific evidence ('trust general counsel will take action against senior partner'); secondary because Power Dynamics already carries the structural argument.
mid-level-consultant-decides,20260425T110621Z,probabilistic-thinking,Probabilistic Thinking,"A reasonable person would conclude this is likely obstruction-related conduct. I want to be careful not to conclude it definitively — there's a non-zero chance there's a legitimate explanation (he was destroying duplicates after an official retention decision, he was destroying personal work product",MISSING: no sentence names or addresses Probabilistic Thinking,hidden,yes,secondary lens,"Probabilistic Thinking applies as a check: weigh the prior on a benign explanation (low) against the consequences of inaction (high), even before deciding the reporting path.",appropriate-secondary,yes,no,Meta-reasoning rule rather than central decision; secondary.
mid-level-consultant-decides,20260425T110621Z,confidence-calibration,Confidence Calibration,"Test it this way: if the general counsel got a report about a senior partner, how confident are you that action would actually follow? If you're 90%+ confident, internal first is reasonable. If you're 70% or below, external-with-counsel is safer.",MISSING: no sentence names or addresses Confidence Calibration,hidden,yes,primary pressure,"Confidence Calibration is the right test: if you're 90%+ that the GC would act on a senior-partner report, internal-first is reasonable; below 70%, external-with-counsel is safer.",appropriate-primary,yes,no,Direct decision rule with explicit cutoffs; load-bearing for the path choice. Currently silently omitted.
mid-level-consultant-report,20260424T124651Z,power-dynamics,Power Dynamics,"the conduct involves a senior partner, which means firm leadership has financial and political incentives to minimize","The Power Dynamics read on ""senior partner with revenue weight creates institutional drag"" holds — that's not anchoring bias, it's how these firms actually work.",appropriate-primary,yes,primary pressure,"Power Dynamics is load-bearing: a senior partner with revenue weight creates institutional drag on internal reporting — that's not anchoring bias, it's structural.",appropriate-primary,yes,no,
mid-level-consultant-report,20260424T124651Z,probabilistic-thinking,Probabilistic Thinking,"there's a non-zero chance there's a legitimate explanation (he was destroying duplicates after an official retention decision, he was destroying personal work product, etc). But the timing and location make any benign explanation hard to believe.",MISSING: no sentence names or addresses Probabilistic Thinking,hidden,yes,secondary lens,"Probabilistic Thinking applies as a check: the prior on a benign explanation (legitimate-retention-period destruction) is low given timing and location, but explicitly weighing it sharpens the decision.",appropriate-secondary,yes,no,Same shape as Row 18.
mid-level-consultant-report,20260424T124651Z,confidence-calibration,Confidence Calibration,"Test it this way: if the general counsel got a report about a senior partner, how confident are you that action would actually follow? If you're 90%+ confident, internal first is reasonable. If you're 70% or below, external-with-counsel is safer.",MISSING: no sentence names or addresses Confidence Calibration,hidden,yes,primary pressure,"Confidence Calibration is the load-bearing test: above ~90% confidence in internal action, internal-first is reasonable; below 70%, external-with-counsel is the safer route.",appropriate-primary,yes,no,Same shape as Row 19; load-bearing decision rule.
mother-deciding-address-year,20260424T124626Z,feedback-loops,Feedback Loops,The answer is not tighter surveillance; it's rebuilding enough of a relationship that she wants to tell you when the next guy appears.,"Feedback loops are the actual mechanism: you're trying to build a loop where she tells you things voluntarily, and every surveillance step is that loop's antagonist.",appropriate-primary,yes,primary pressure,"Feedback Loops is the actual mechanism: the goal is rebuilding a relationship where she tells you voluntarily, and every surveillance step is that loop's antagonist.",appropriate-primary,yes,no,
mother-deciding-address-year,20260424T124626Z,opportunity-cost,Opportunity Cost,"if your goal is protecting her, not reporting and getting her to a specialized therapist is probably the better path given your co-parenting situation.","The opportunity cost the no-report path makes harder is one I didn't name: *evidence preservation, other possible victims, and the narrowing window during which a pattern-of-behavior case against this guy could be built by anyone.* The decision I gave was protection-of-your-daughter versus accountability-for-him.",appropriate-primary,yes,primary pressure,"Opportunity Cost names what the no-report path makes harder: evidence preservation, other possible victims, and the narrowing window for any pattern-of-behavior case.",appropriate-primary,yes,no,Self-correction; the original advice didn't surface this cost.
mother-deciding-address-year,20260424T124626Z,second-order-thinking,Second Order Thinking,"Sometimes blocking drives the communication underground on a different platform or device, and you lose visibility entirely.",MISSING: no sentence names or addresses Second Order Thinking,hidden,no,set aside with a reason,"Second Order Thinking was surfaced — ""blocking drives communication underground and you lose visibility"" — but the specific dynamic is already captured by Feedback Loops, so I'm not centering it separately.",appropriate-set-aside,yes,no,"second-order-thinking is a broad-overlay model. Per rules, defaults to weak unless mechanism is unmistakable. Feedback Loops carries the specific load."
mother-deciding-address-year,20260424T124626Z,power-dynamics,Power Dynamics,"The fact that you even have to worry about your ex's reaction is a constraint on your options, not a choice.",Power dynamics here isn't negotiation leverage; it's the shape of the decision space.,appropriate-primary,yes,primary pressure,"Power Dynamics here isn't negotiation leverage — it's the shape of the decision space, where worrying about your ex's reaction is a constraint on your options, not a choice.",appropriate-primary,yes,no,
mother-deciding-address-year,20260424T124626Z,principal-agent-problem,Principal Agent Problem,"his minimization could actively harm her through the process (his statements to investigators, his influence on her during custody days).",MISSING: no sentence names or addresses Principal Agent Problem,hidden,yes,secondary lens,The Principal Agent Problem is the deeper read on why your ex's minimization could actively harm her — his interests don't align with your daughter's protection in this specific custody process.,appropriate-secondary,yes,no,Power Dynamics carries the primary load; PA-Problem is the structural why.
third-year-phd-student,20260425T122400Z,optionality,Optionality,"A novel combination that's 60% worked gives you: multiple paper possibilities, a methods contribution, industry interest if it has practical applications, and a unique pitch for both postdoc and direct-to-industry paths.","Optionality on its purest form — ""generate more options before narrowing."" I'd partly set this aside because the user has been at this for a month already and additional generation has diminishing returns.",appropriate-set-aside,no,set aside with a reason,"Optionality in its purest form — ""generate more options before narrowing"" — is partly set aside because the user has been at this for a month and additional generation has diminishing returns.",appropriate-set-aside,yes,no,Current does set-aside with explicit reason.
third-year-phd-student,20260425T122400Z,premortem,Premortem,"Worst case: the combination turns out to not work, and you end up in year 5 needing to pivot to option 1 anyway but with less time to execute it.","The premortem on fallback paths (salvage, pivot, extend) holds.",appropriate-primary,yes,primary pressure,"Premortem on fallback paths (salvage, pivot, extend) is the load-bearing structural move — it surfaces the worst case (year 5 needing to pivot anyway) before commitment.",appropriate-primary,yes,no,
third-year-phd-student,20260425T122400Z,status-quo-bias,Status Quo Bias,"""it's common in my department"" is also a status-quo signal — if everyone is doing it, it's by definition not differentiating.","### What I'd set aside

Status quo bias.",appropriate-set-aside,no,set aside with a reason,"Status Quo Bias was surfaced (""it's common in my department"" as a status-quo signal) but the reasoning had already corrected for it; setting it aside as not load-bearing for the action plan.",appropriate-set-aside,yes,yes,Current text shows '### What I'd set aside\n\nStatus quo bias.' — could be a heading + label format with continuation. Marked uncertain pending review of the full set-aside paragraph.
third-year-phd-student,20260425T122400Z,base-rates,Base Rates,"The base rate of success on genuinely novel combinations in a PhD timeline is probably 20-30%, not 50%.",Base rates as alarming.,appropriate-primary,yes,primary pressure,"Base Rates are alarming: success on genuinely novel combinations in a PhD timeline is probably 20-30%, not 50%, and that reframes the risk profile of the option-3 path.",appropriate-primary,yes,yes,Current text 'Base rates as alarming.' is fragmentary — the multi-match shows two sentences mention Base Rates. Marked uncertain pending review of full passage.
third-year-phd-student,20260425T122400Z,problem-framing-and-reframing,Problem Framing And Reframing,"When you describe it that way, it's much more specific and much less wild. ""Apply existing tumor evolution methods to existing single-cell datasets to extract something the single-cell field currently can't see"" is a defined project, not a blue-sky combination.",MISSING: no sentence names or addresses Problem Framing And Reframing,hidden,yes,primary pressure,"Problem Framing And Reframing is what saved this — once you reframed ""apply existing tumor evolution methods to existing single-cell datasets"" as a defined project, the wildness collapsed.",appropriate-primary,yes,no,Direct execution of the reframing; load-bearing. Currently silently omitted.
user-launch-independent-fintech,20260424T123050Z,margin-of-safety,Margin Of Safety,Option 3: Launch on current timeline but with a specific safety net — a part-time arrangement with a friendly ex-employer or fractional CTO/CPO role at one company that covers 30-40% of your baseline costs while the rest of the pipeline builds.,"The Margin Of Safety frame was already running in the original advice (that's what ""don't launch without a signed commitment"" and ""the first 3 months produce no income"" are doing), and those stay.",appropriate-primary,yes,primary pressure,"Margin Of Safety was already running in the original advice (the signed-commitment requirement and 3-month-zero-income guidance), and those load-bearing constraints stay.",appropriate-primary,yes,no,
user-launch-independent-fintech,20260424T123050Z,optimism-bias-and-planning-fallacy,Optimism Bias And Planning Fallacy,"8 months at zero revenue is tight for a first-time independent consultant. Industry experience suggests the first paid engagement often takes 3-5 months from launch, not including the 1-2 months you'll spend setting up legal/admin.",MISSING: no sentence names or addresses Optimism Bias And Planning Fallacy,hidden,yes,primary pressure,"Optimism Bias And Planning Fallacy is the load-bearing read on the 8-month runway: first paid engagements typically take 3-5 months from launch, plus 1-2 months legal/admin, which pushes hard against the optimistic timeline.",appropriate-primary,yes,no,Specific industry-base-rate evidence; load-bearing. Currently silently omitted.
year-old-oncologist-accept,20260425T121607Z,batna,Batna,"get the non-compete reviewed by a lawyer you trust, not a Merck-provided one. Non-compete language in immunotherapy is frequently more aggressive than candidates realize, and the 2-year window may be narrower or broader than the face language suggests depending on how ""development"" is defined.","**The academic-return BATNA is softer than I implied.** I wrote ""you can return to a senior academic role at 48 without starting from zero"" as if it were a clean fallback.",appropriate-primary,yes,primary pressure,"The academic-return BATNA is softer than I implied — non-compete language in immunotherapy is frequently more aggressive than candidates realize, so the 2-year window may not be the clean fallback I described.",appropriate-primary,yes,no,Strong self-correction.
year-old-oncologist-accept,20260425T121607Z,information-asymmetry,Information Asymmetry,"the second Merck conversation (portfolio + team) should happen before you draft the counter-offer, not in parallel. What you learn about the actual compounds and the people might change what you're asking for","Sequencing the Merck portfolio call before the counter-offer also stands — Information Asymmetry caught what turn 10 already corrected: Merck holds the substantive information about the role, and you need to surface it before pricing your asks.",appropriate-primary,yes,primary pressure,"Information Asymmetry is the right read on call sequencing: Merck holds the substantive information about portfolio and team, so the second conversation should happen before drafting the counter-offer.",appropriate-primary,yes,no,
year-old-oncologist-accept,20260425T121607Z,theory-of-constraints,Theory Of Constraints,"And — if the husband conversation hasn't happened, that's the thing that makes everything else speculative. Nothing downstream matters if that answer isn't clear.","Theory Of Constraints reads my reasoning correctly: until that conversation produces a concrete answer, the rest is speculative.",appropriate-primary,yes,primary pressure,"Theory Of Constraints reads it correctly: until the husband conversation produces a concrete answer, everything downstream is speculative — that's the binding constraint, not compensation or geography.",appropriate-primary,yes,no,
year-old-oncologist-accept,20260425T121607Z,decomposition,Decomposition,"Before I say anything useful I want to separate a few things that are sitting together in what you wrote. There's a career question (is this the right role for you professionally), a family question (what does 3 days/week away for years look like), and a financial question (what does the money buy a",Decomposition into career/family/financial buckets in turn 1 was right; without it the conversation would have stayed tangled.,appropriate-primary,yes,primary pressure,Decomposition into career/family/financial buckets in turn 1 was the right structural move — without it the conversation would have stayed tangled.,appropriate-primary,yes,no,
