experiment_id	date	hypothesis	fixed_cases	result	promotion_read	kept_signal	boundary_or_falsifier	next_step
design_preamble_card_interface_v0	2026-05-20	Bevelin and Polya should validate as first implementations of a generic private-card interface rather than remaining hardcoded architecture.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	block_runtime_until_ledger_overlap_and_omission_contracts_pass	Existing clean-hybrid, Bevelin, and Polya cards validate through private_reasoning_card.v1, and a synthetic future card validates without adding visibility-policy or ledger fields.	The interface does not yet prove V60/card overlap handling, cache-hit usefulness, or production card generation; it only proves the card shape can be generic.	Run design_preamble_ledger_overlap_v0 next; keep SKILL.md and runtime dormant.
design_preamble_ledger_overlap_v0	2026-05-20	V60 chunks and generic reasoning cards can share one private-consideration ledger if hot context dedupes overlap while archive preserves every source item for custody.	founder-grant-marcus-equity.high-clutter	keep_research_only	block_runtime_until_payload_omission_and_visibility_contracts_pass	The founder overlap fixture presents reasoning_card:bevelin_card once in hot context while preserving both reasoning_card:bevelin_card and synthetic v60_chunk:overcommitment_without_evidence in ledger custody.	The V60 item is synthetic and only tests schema shape; real V60 selected chunks still need live-run integration before runtime promotion.	Run design_preamble_payload_omission_v0 next; keep SKILL.md and runtime dormant.
design_preamble_payload_omission_v0	2026-05-20	Protected payload omissions should be detected as anchor-activated, diff-based category candidates rather than as overall completeness scores or answer selectors.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	block_runtime_until_visibility_asymmetry_and_calibration_contracts_pass	The gate uses six protected categories, mechanistic detectors, per-category records, and visibility_decision:not_decided_by_omission_gate; all four fixed-suite deck answers preserved the protected categories.	The gate can still miss semantic omissions inside a present category, and detector vocabulary must remain finite rather than becoming a completeness rubric.	Run ledger negative-shape fixtures next, then design_preamble_visibility_asymmetry_v0; keep SKILL.md and runtime dormant.
design_preamble_ledger_negative_shapes_v0	2026-05-20	The ledger-overlap contract should be conditional: non-overlapping card/V60 pressure remains in hot context, and V60-only cases validate without a card deck.	founder-grant-marcus-equity.high-clutter.non-overlap; synthetic-v60-only	keep_research_only	block_runtime_until_visibility_asymmetry_and_calibration_contracts_pass	Added non-overlap and V60-only fixtures: non-overlap keeps reasoning_card:polya_card and v60_chunk:absence_blocker_false_precision hot with no shared overlap_group_id; V60-only validates v60_chunk:standalone_margin_of_safety with no private card deck.	The V60 records remain synthetic schema fixtures, not live V60 selected chunks.	Run design_preamble_visibility_asymmetry_v0 next; keep SKILL.md and runtime dormant.
design_preamble_visibility_asymmetry_v0	2026-05-20	Runtime should be anchor-biased in public output while remaining broad in private context; research and experimental modes may retest once, but normal runtime should not run a live reviewer loop.	runtime-unresolved; deck-confirmed; anchor-confirmed; tie-retest; ledger-reviewer-disagreement	keep_research_only	block_runtime_until_calibration_floor_passes	Runtime unresolved/tie-like cases produce anchor_visible_deck_private with 0 normal runtime reviewer calls; research/experimental ties or disagreements retest at most once with a second reviewer from a different model family if available.	Runtime is intentionally biased toward false stand-down rather than public over-promotion when unresolved; false stand-down recall becomes load-bearing.	Run design_preamble_calibration_floor_v0 next; keep SKILL.md and runtime dormant.
design_preamble_calibration_floor_v0	2026-05-20	The four-case suite is seed evidence, not calibration; promotion needs a 12-20 case manifest and explicit false-standdown measurement.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	runtime_promotion_blocked_until_false_standdown_bridge_or_full_curation	Added pre_step6_calibration_floor.v1 manifest: current coverage is 4 seed cases, 1 high-clutter, 1 sequencing/problem-shape, 1 sensitive/safety/legal, 2 negative controls, and 0 same-case V60 on/off pairs; calibration_floor_met is false.	The next bottleneck is evidence, not schema work: mother is only a true_standdown_candidate with seed_only weight, marker-level payload preservation can still miss anchor entities, and V60 pairs must be same-case toggles.	Run false_standdown_bridge_probe_v0 as a 2-3 case non-promotional dangerous-corner probe before full curation; keep SKILL.md and runtime dormant.
false_standdown_bridge_probe_v0	2026-05-21	Before full curation, probe the dangerous corner where runtime anchor bias would suppress deck pressure that reviewers judge material.	bridge-high-clutter-sensitive-overlay; bridge-sensitive-anchor-misses-tripwire; bridge-sequencing-sensitive-boundary	design_review_required	block_integration_draft_until_visibility_policy_redesign	All three pre-registered bridge cases were confirmed false_standdown by two reviewer families: openai/gpt-5.1-chat and google/gemini-3.1-flash-lite.	This is packet-level adversarial bridge evidence, not full runtime evidence; it does not prove card generation quality, but it falsifies universal runtime anchor-visible fallback when deck pressure is unresolved.	Run design_preamble_visibility_policy_redesign_v0; test ledger-mediated runtime visibility without adding a reviewer loop; keep SKILL.md and runtime dormant.
design_preamble_visibility_policy_redesign_v0	2026-05-21	Universal runtime anchor fallback should be replaced by a Step-6-ledger mediated rule: deck-aware output may be visible when Step 6 records additive pressure and payload is preserved.	bridge-high-clutter-sensitive-overlay; bridge-sensitive-anchor-misses-tripwire; bridge-sequencing-sensitive-boundary; mother-address-year; synthetic-cache-miss; synthetic-missing-ledger; synthetic-payload-omission	keep_research_only	block_runtime_until_bridge_step6_ledger_replay_or_calibration	Redesigned fixtures make the three confirmed false-standdown bridge cases deck_visible_from_step6_additive_pressure, while preserving anchor/current-Step-6 fallback for private/confirming ledgers, missing ledgers, payload omission, and cache miss.	This is a policy contract, not proof that the full Step 6 replay path produces additive ledgers on bridge cases; bridge cases remain packet-level evidence.	Run bridge_step6_ledger_replay_v0 or full calibration-floor curation before integration; keep SKILL.md and runtime dormant.
bridge_step6_ledger_replay_v0	2026-05-21	Step 6's own private ledger can supply the additive-pressure signal that the redesigned visibility policy depends on, without adding a runtime reviewer loop.	bridge-high-clutter-sensitive-overlay; bridge-sensitive-anchor-misses-tripwire; bridge-sequencing-sensitive-boundary	keep_research_only	integration_design_allowed_runtime_still_blocked	Live Step 6 replay with openai/gpt-5.1-chat produced ledger_signal:additive_pressure_present on all three bridge packets; aggregate replay_result is step6_additive_signal_supported.	This remains bridge-packet evidence, not full production runtime evidence; it does not prove card compilation, cache hits, V60 overlap, payload preservation, or calibrated false-standdown/false-promotion rates.	Write a research-only integration design draft with runtime dormant, or curate the full calibration floor before drafting.
ledger_mediated_integration_design_draft_v0	2026-05-21	Existing preamble evidence can be converted into a dormant integration design without changing SKILL.md or runtime defaults.	bridge-high-clutter-sensitive-overlay; bridge-sensitive-anchor-misses-tripwire; bridge-sequencing-sensitive-boundary; fixed-suite-seed-cases	keep_research_only	dormant_shadow_implementation_slice_allowed	Created research/pre-step6-ledger-mediated-integration-design-draft-2026-05-21.md with modes, cache-hit-only flow, Step 6 prompt ledger contract, unified ledger, deterministic visibility resolver, payload tripwire, archive fields, Observatory view, cost envelope, promotion gates, and falsifiers.	The draft still relies on bridge-packet and seed-suite evidence; runtime promotion remains blocked until calibration or explicit narrow pilot approval.	Implement only dormant/shadow flags and archive contracts next, or curate the full calibration floor before implementation.
false_positive_visibility_probe_v0	2026-05-21	Test the mirror risk that Step 6 marks deck pressure additive and the redesigned policy would surface a worse deck-aware answer.	fp-bevelin-irrelevant-incentives; fp-polya-true-but-useless; fp-marker-preserved-entity-lost	keep_research_only	continue_probe_with_not_observed	Live Step 6 replay with openai/gpt-5.1-chat emitted all_private_or_confirming on all three cases; Bevelin and Polya temptation cases are step6_stood_down; marker/entity-loss is not_observed because the failure mode did not materialize.	The probe did not find a false positive, but it also did not close the omission gate's marker-vs-content-loss weakness.	Run focused marker/entity-loss construction follow-up, or only implement ultra-dormant flags/archive/validation with visibility shadow-only.
marker_entity_loss_followup_v0	2026-05-21	Focused construction follow-up should reveal whether Step 6 can over-promote generic deck pressure that preserves markers while losing anchor entities.	marker-entity-attempt-1-resource-generalization; marker-entity-attempt-2-tripwire-compression; marker-entity-attempt-3-actor-sequence-blur	keep_research_only	not_observed	Live Step 6 replay with openai/gpt-5.1-chat emitted all_private_or_confirming on all three attempts; no reviewer calls were needed; Step 6 preserved concrete anchor entities and kept generic deck pressure rejected, private_guardrail, or confirming_support.	The failure shape remains technically unobserved, so the omission gate's marker-vs-content-loss weakness remains a calibration dimension even though false-positive risk is further reduced.	Proceed only to ultra-dormant shadow flags/archive/validation and Observatory plumbing, or curate the full calibration floor before implementation.
ultra_dormant_shadow_portfolio_integration_v0	2026-05-21	Implement only the first dormant runtime-adjacent slice so the system can gather portfolio-policy evidence without changing Step 6 visible behavior.	cache-miss; additive-ledger-cache-hit; payload-omission-guardrail; archive-sidecar; observatory-panel	keep_shadow_only	runtime_promotion_blocked	Added pre_step6_shadow_portfolio.v1 with compiled cached-deck keys, cached-only lookup, Step 6 ledger-signal derivation, payload/custody guardrail recording, sidecar writing, archive copying, and /audit/pre-step6 Observatory/API visibility.	This is an instrumentation layer only: no live card generation, no runtime reviewer calls, no visible-output application, no SKILL.md behavior change, and no calibration-floor promotion.	Run real archived cases in shadow mode first with cache misses, then with fixed-suite precomputed decks, before any Step 6 prompt/deck-injection slice.
shadow_evidence_run_v0	2026-05-21	Run the new shadow instrument on prior-result cache misses and fixed-suite cache hits to see whether it records useful learning without changing visible behavior.	friendship-money-new-run2; messy-three-problems-new-run2; multi-offer-new-run2; oncologist-new-run2; parenting-teen-new-run2; phd-research-new-run2; real-estate-new-run2; startup-pivot-new-run2; founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_shadow_only	cache_coverage_is_next_bottleneck	Eight prior results all recorded cache_miss -> current_step6_visible_no_deck with zero visible applications; fixed-suite cache hits produced deck_visible_shadow_only for founder/PhD/consultant and anchor_visible_deck_private_shadow_only for mother, again with zero visible applications.	The cache-hit arm reuses existing fixed-suite replay ledgers, so it confirms runtime-adjacent recording fidelity rather than new Step 6 behavior on broader cases.	Expand precomputed deck/cache coverage for more prior-result cases and inspect /audit/pre-step6 panels before any prompt injection or visible policy change.
consultant_triggered_false_positive_probe_v0	2026-05-21	Use the shadow harness's consultant deck-visible signal as a probe trigger, after resolving the manifest/brief classification conflict.	mid-level-consultant-report-2; fp-marker-preserved-entity-lost; fp-bevelin-irrelevant-incentives	keep_research_only	consultant_positive_seed_confirmed	Consultant was corrected to sensitive_safety_legal/positive_seed before the probe; live Step 6 emitted additive_pressure_present and both reviewer families returned true_visible; Bevelin temptation stood down; marker/entity loss remained not_observed.	The marker/entity failure shape is still not observed, and consultant evidence is still seed evidence rather than calibration-floor evidence.	Keep consultant out of negative-control buckets; use shadow telemetry to surface future adversarial probe candidates, then adjudicate surprising cases with dual reviewers.
shadow_triggered_false_positive_probe_v0	2026-05-21	Shadow telemetry should surface adversarial candidates, but formal visibility reads still require fresh Step 6 replay plus reviewer-custody checks.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2	keep_research_only	continue_probe_with_ambiguity	The harness now records per-category payload-preservation outcomes and flagged three deck-visible marker/entity-loss candidates; fresh Step 6 stood down on PhD and consultant, while founder reached additive pressure but demoted to ambiguous because reviewer labels said true_visible while winner arms pointed to anchor.	Marker/entity telemetry is sensitive and useful for candidate discovery, not runtime blocking; historical replay ledgers are conditional evidence; reviewer labels need custody checks against blind winner arms and non-inferiority reads.	Add cheap answer-delta visible-effect specificity before any runtime promotion; keep SKILL.md unchanged and continue shadow-only evidence collection.
answer_delta_specificity_v0	2026-05-21	Additive Step 6 ledger claims should name concrete visible-answer deltas before they can unlock deck-visible shadow decisions.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	calibration_coverage_next	The shadow resolver now classifies answer_delta specificity and blocks additive ledgers with missing/reframe-only deltas; old fixed-suite replay ledgers now fall to anchor_visible_answer_delta_guardrail_shadow_only; fresh answer-delta Step 6 replay stood down on founder, PhD, and consultant.	This is a custody guardrail, not a wisdom score; historical additive replays without answer_delta are no longer sufficient evidence, and fresh answer-delta sampling is needed before calibration can treat additive signals as stable.	Keep answer_delta guardrail; do not add entity-level payload gate unless future concrete_delta_present cases fail reviewer adjudication; move next bottleneck to calibration coverage.
answer_delta_bridge_rerun_v0	2026-05-21	Verify that the structured answer_delta guardrail does not reintroduce false stand-down on the original bridge cases.	bridge-high-clutter-sensitive-overlay; bridge-sensitive-anchor-misses-tripwire; bridge-sequencing-sensitive-boundary	keep_research_only	calibration_coverage_next	Live Step 6 replay with openai/gpt-5.1-chat produced additive_pressure_present plus concrete_delta_present on all three bridge cases; the answer-delta guarded policy would unlock all three; dual reviewers again labeled hiding those answer_core outputs as false_standdown.	The reviewer result artifact says design_review_required because the inherited false-standdown schema asks whether hiding the deck-aware output would be false; in this rerun that is a positive verification signal because the guarded policy would not hide those outputs.	Keep answer_delta guardrail, do not add entity-level gate yet, and begin calibration corpus work with n=3 Step 6 stability sampling.
calibration_corpus_step6_stability_v0	2026-05-21	Test whether a pre-registered 17-case calibration corpus produces stable Step 6 private-ledger and answer-delta signals before reviewer adjudication.	17-case calibration corpus: high-clutter; sequencing/problem-shape; sensitive/safety/legal; negative controls; two synthetic V60 same-case on/off pairs	keep_research_only	stability_review_required_before_reviewer_phase	The corpus floor is met and 51 live Step 6 samples completed; 10 cases were stable and 7 were unstable; false-positive controls, mother, consultant, and two bridge wins stood down or unlocked cleanly, while high-clutter and V60-pair cases were noisy.	This is a Step 6 stability blocker, not a verdict against broad private context; reviewer adjudication would now mix quality judgment with sampling noise, and V60 pairs are still synthetic harness evidence.	Run a no-redesign stability review over existing samples before any reviewer phase; keep runtime promotion and SKILL.md blocked.
calibration_corpus_unstable_repeat_v0	2026-05-21	Test whether the seven unstable calibration cases stabilize under same-prompt repeat sampling before reviewer adjudication.	bridge-high-clutter-sensitive-overlay; founder-grant-marcus-equity.high-clutter.v60-off; founder-grant-marcus-equity.high-clutter.v60-on; marker-entity-attempt-1-resource-generalization; startup-pivot-new-run2; third-year-phd-student.v2.v60-off; third-year-phd-student.v2.v60-on	keep_research_only	reframe_diagnostic_review_next	Repeat sampling resolved marker-entity-attempt-1 to stable stand-down and PhD V60-on to stable positive; bridge-high-clutter stayed borderline; founder V60 off/on, startup, and PhD V60-off remained mixed or borderline, mostly around reframe-only vs concrete answer_delta custody.	The persistent issue is not generic overpromotion; it is high-clutter/V60-adjacent cases where Step 6 often sees additive pressure but expresses it as reframed_emphasis rather than concrete payload.	Run a narrow diagnostic reviewer phase over saved samples to test whether reframe-only outputs are useful or correctly suppressed; do not add a deterministic gate, change SKILL.md, or promote runtime.
calibration_reframe_diagnostic_review_v0	2026-05-21	Test whether saved reframe-only Step 6 outputs are useful enough to challenge the answer-delta vocabulary or are correctly suppressed by the guardrail.	10 saved samples: 3 stable controls and 7 repeat-pass reframe-only diagnostics	keep_research_only	answer_delta_vocabulary_design_review_required	Two reframe-only samples were confirmed useful/non-inferior by both reviewer families; no reframe-only sample was confirmed correctly suppressed; six records were ambiguous and five had label/winner-arm tension.	This is not runtime promotion evidence: reviewer tension is high and the result says the vocabulary is too narrow, not that all reframe-only outputs should unlock.	Run answer_delta_structural_delta_design_v0: add a research-only structural_delta vocabulary for concrete structural reasoning changes, keep generic reframed_emphasis suppressed, and rerun the persistent samples before broad calibration.
consultant_cleaning_variant_replay_v0	2026-05-22	Replacing broad Consultant lens identity with concrete micro-cards should make Step 6's consideration cleaner without narrowing the private table prematurely.	mid-level-consultant-report-2	keep_research_only	runtime_and_skill_blocked	Live Kimi replay completed six samples: 4/6 additive, 2/6 private/confirming, 0 missing/unclear, 6/6 protected payload preserved. Only the reversibility-until-counsel boundary recurred as additive; counsel/channel-bias and Wednesday-tripwire cards stayed private/confirming.	The table is cleaner and the ambiguity is narrower, but consideration remains mixed; do not add a deterministic visibility gate. Sample 4 stalled twice and was replaced by sample 6, so Kimi latency/stall behavior remains an operational watch.	Run consultant_anchor_boundary_patch_probe_v0 to test whether folding the recurring counsel-gated reversibility boundary into the anchor lets the micro-cards stand down.
consultant_anchor_boundary_patch_probe_v0	2026-05-22	If the Consultant anchor already carries the recurring reversibility-until-counsel pressure, the same micro-card should mostly stand down.	mid-level-consultant-report-2	keep_research_only	runtime_and_skill_blocked	Live Kimi probe completed six samples: 5/6 all-private-or-confirming, 1/6 reversibility-card additive, 6/6 patched boundary present, 6/6 protected payload preserved; upstream_pressure_carried=yes and consultant_classification=graduation_candidate.	The patch is a hypothesis-test input, not a per-case architecture; the one additive outlier appears to credit the card with a phrase already present in the patched anchor.	Stop Consultant for this research chapter; run consultant_upstream_origin_investigation_v0 later as synthesis-origin finding, and move next to phd_kimi_variance_cleaning_review_v0.
phd_kimi_variance_cleaning_review_v0	2026-05-22	Atomic decomposition should make Kimi's PhD variance more legible without adding a gate, changing model family, or narrowing private context prematurely.	third-year-phd-student.v2.v60-off	keep_research_only	runtime_and_skill_blocked	Live Kimi replay completed six samples with reasoning disabled for this research script: 6/6 micro-card additive, 0 private-only, 0 missing, 6/6 protected payload preserved. Card counts were bounded-probe 4, visible-stop-date 3, single-cell feasibility 2, fallback reentry 1; aggregate atomic_discrimination_read=discriminated.	The call configuration changed after an initial provider/model hang, so evidence is conditional on Kimi plus OpenRouter plus reasoning-disabled script setting. PhD produced distributed atom selection rather than one graduation candidate.	Build evidence_surface_v0 so humans can read recurring pressure atoms and candidate graduations without opening raw JSON; do not automate graduation.
evidence_surface_v0	2026-05-22	The cleaning lane needs a human-readable evidence surface that aggregates pressure-atom recurrence without turning recurrence into automatic wisdom.	mid-level-consultant-report-2; third-year-phd-student.v2.v60-off	keep_research_only	closeout_ready	Runtime-dormant surface aggregates Consultant and PhD cleaning evidence. It nominates Consultant's reversibility-until-counsel atom for human review and marks PhD atoms as distributed watch_not_graduate. Principles are explicit: code may nominate, humans decide, automatic graduation false, runtime visibility change false.	This is an evidence surface, not a decision engine; it covers two cleaning cases only and should not be read as corpus-level graduation evidence.	Write the closeout decision document with precommitted shadow/research-only criteria, the concrete meaning of shadow implementation, and the Founder V60 handoff.
cleaning_research_closeout_v0	2026-05-22	The pre-Step-6 cleaning research chapter should stop once Consultant, PhD, evidence surface, and closeout criteria are interpretable.	mid-level-consultant-report-2; third-year-phd-student.v2.v60-off; founder-grant-marcus-equity.high-clutter	closed_research_chapter	shadow_allowed_as_separate_program_runtime_blocked	Closeout records that Consultant is a human-review graduation candidate, PhD is distributed watch_not_graduate, evidence surface exists, Founder V60 is handed off as separate V60 packet issue, and model commitment includes call configuration.	The closeout does not authorize runtime-on or SKILL.md behavior changes; shadow implementation is allowed only as a separate dormant program.	Stop probe-shaped research for this chapter. Decide separately whether to start dormant shadow implementation or park the work.
